date,campaign,impressions,adClicks,adCost,CPC,CTR,costPerConversion,newVisits,visits,bounces,organicSearches
20120918,DRTV-0817-0821-Topic,6030,84,357.87,4.260357143,1.393034826,0,0,0,0,0
20120919,(not set),0,0,0,0,0,0,2167,6822,1960,1205
20120919,DRTV-0817-0821-Interests,136683,232,1218,5.25,0.169735812,0,0,0,0,0
20120919,DRTV-0817-0821-Placements,57068,152,834.13,5.487697368,0.266348917,0,0,0,0,0
20120919,DRTV-0817-0821-Topic,7517,79,296.31,3.750759494,1.050951177,0,0,0,0,0
20120920,(not set),0,0,0,0,0,0,2203,7120,1807,1156
20120920,DRTV-0817-0821-Interests,37768,69,355.76,5.155942029,0.182694344,0,0,0,0,0
20120920,DRTV-0817-0821-Placements,12895,39,217.63,5.58025641,0.302442807,0,0,0,0,0
20120920,DRTV-0817-0821-Topic,1250,14,33.65,2.403571429,1.12,0,0,0,0,0
20120921,(not set),0,0,0,0,0,0,1856,6518,1485,1272
20120922,(not set),0,0,0,0,0,0,1266,3438,1187,901
20120923,(not set),0,0,0,0,0,0,1016,2519,755,663
20120924,(not set),0,0,0,0,0,0,2197,7266,1984,1327
20120924,JRNE-0824-0828-Interests,199712,223,1285.87,5.766233184,0.111660792,0,0,0,0,0
20120924,JRNE-0824-0828-Keywords,206286,169,748.75,4.430473373,0.081925094,0,0,0,0,0
20120924,JRNE-0824-0828-Placements,81262,150,852.52,5.683466667,0.184588122,0,0,0,0,0
20120924,JRNE-0824-0828-Topic,3654,3,18.16,6.053333333,0.082101806,0,0,0,0,0
20120925,(not set),0,0,0,0,0,0,2666,7905,2313,1643
20120925,JRNE-0824-0828-Interests,181572,234,1381.48,5.903760684,0.128874496,0,0,0,0,0
20120925,JRNE-0824-0828-Keywords,143240,159,736.45,4.631761006,0.111002513,0,0,0,0,0
20120925,JRNE-0824-0828-Placements,81198,164,955.84,5.828292683,0.201975418,0,0,0,0,0
20120925,JRNE-0824-0828-Topic,8524,19,105.98,5.577894737,0.222900047,0,0,0,0,0
20120926,(not set),0,0,0,0,0,0,2300,7437,2124,1260
20120926,JRNE-0824-0828-Interests,202107,238,1356.37,5.699033613,0.117759405,0,0,0,0,0
20120926,JRNE-0824-0828-Keywords,139627,175,714.12,4.080685714,0.125333925,0,0,0,0,0
20120926,JRNE-0824-0828-Placements,93787,165,924.7,5.604242424,0.175930566,0,0,0,0,0
20120926,JRNE-0824-0828-Topic,11500,23,105.58,4.590434783,0.2,0,0,0,0,0
20120927,(not set),0,0,0,0,0,0,2300,7364,2087,1272
20120927,JRNE-0824-0828-Interests,181326,240,1310.15,5.458958333,0.132358294,0,0,0,0,0
20120927,JRNE-0824-0828-Keywords,83146,164,694.63,4.23554878,0.197243403,0,0,0,0,0
20120927,JRNE-0824-0828-Placements,79374,166,917.44,5.526746988,0.209136493,0,0,0,0,0
20120927,JRNE-0824-0828-Topic,6350,19,99.92,5.258947368,0.299212598,0,0,0,0,0
20120928,(not set),0,0,0,0,0,0,1954,6810,1771,1229
20120928,JRNE-0824-0828-Interests,200744,208,1150.57,5.531586538,0.103614554,0,0,0,0,0
20120928,JRNE-0824-0828-Keywords,70085,142,604.56,4.257464789,0.202611115,0,0,0,0,0
20120928,JRNE-0824-0828-Placements,73553,118,700.8,5.938983051,0.160428535,0,0,0,0,0
20120928,JRNE-0824-0828-Topic,8117,16,86.86,5.42875,0.197117162,0,0,0,0,0
20120929,(not set),0,0,0,0,0,0,1047,3901,803,767
20120930,(not set),0,0,0,0,0,0,1028,2714,815,566
20121001,(not set),0,0,0,0,0,0,2337,6950,2246,1278
